Year,Year_Thai,Prov,MSW_GenRate(ton/d),MSW_GenRate(kg/c/d),MSW_Reclycled,MSW_ProperDisposed,MSW_ImproperDisposed,Pop,Pop_Total,Area_km2,Pop_Density,Age_0_5,Age_6_17,Age_18_24,Age_25_44,Age_45_64,Age_65plus,Male,Female,Employed,Unemployed,No_Households,HH_Income_Avg,GPP_per_Capita,GPP_Agriculture(%),GPP_Industrial(%),GPP_Services(%),LAO_Special,City_Muni,Town_Muni,Subdist_Muni,SAO,District_BKK,Visitors(ppl),Excursionists(ppl),cluster,Area_Type,Gen_Waste,Food_Waste,Recycl_Waste,Hazard_Waste
2013,2556,KRABI,518.2,1.15,107.15,4.29,406.78,450890,0,4709,95.8,10.27,18.96,11.15,32.99,20.44,6.7,49.81,50.18,98.5,1.5,115.94,27275.8,184798,36.6,6.76,56.65,0,0,0,0,0,0,3275495,485739,2,Agricultural&Tourism,,,,
2013,2556,BANGKOK,11335.0,1.99,1410.0,9925.0,0.0,5686252,0,1569,3624.7,6.35,14.69,9.8,31.16,28.06,10.28,47.39,52.6,99.0,1.0,1958.74,49190.8,464325,0.08,15.4,84.52,0,0,0,0,0,0,37145237,13423665,3,Industrial&Tourism&Urban,,,,
2013,2556,KANCHANABURI,839.5,1.0,115.72,17.89,705.92,842882,0,19483,43.3,7.83,16.07,10.9,32.02,24.86,8.71,50.1,49.86,98.7,1.3,233.53,18746.0,105979,25.67,30.33,44.01,0,0,0,0,0,0,2400692,4012864,1,Industrial&Tourism,,,,
2013,2556,KALASIN,979.0,0.99,270.16,153.25,555.61,984030,0,6947,141.7,6.79,15.32,10.16,33.82,26.32,8.4,49.8,50.2,99.0,1.0,287.04,13921.1,63532,28.98,16.57,54.45,0,0,0,0,0,0,283977,236421,4,Agricultural,,,,
2013,2556,KAMPHAENG PHET,669.8,0.92,173.38,98.62,397.75,728631,0,8607,84.7,7.12,15.55,9.94,31.16,27.03,9.58,49.66,50.33,99.6,0.4,222.23,22082.6,154401,28.4,48.05,23.55,0,0,0,0,0,0,358847,239056,4,Agricultural,,,,
2013,2556,KHON KAEN,1912.2,1.07,608.23,199.28,1104.7,1781655,0,10886,163.7,6.7,15.09,10.54,32.18,26.72,9.35,49.48,50.52,98.9,1.1,539.08,18095.0,106935,14.23,39.28,46.49,0,0,0,0,0,0,2356736,1236306,3,Industrial&Tourism&Urban,,,,
2013,2556,CHANTHABURI,582.7,1.11,142.85,180.76,259.06,524260,0,6338,82.7,7.18,15.24,10.35,30.99,26.57,10.12,49.14,50.8,99.4,0.6,172.59,27283.5,194659,59.7,6.82,33.48,0,0,0,0,0,0,1119447,526364,4,Agricultural,,,,
2013,2556,CHACHOENGSAO,788.3,1.14,113.49,13.34,661.48,690226,0,5351,129.0,7.52,15.63,10.03,31.71,25.33,10.19,48.98,51.0,98.4,1.6,215.24,34548.3,422705,6.65,70.42,22.93,0,0,0,0,0,0,520621,2219663,3,Industrial&Tourism&Urban,,,,
2013,2556,CHONBURI,2349.9,1.69,318.72,1029.62,1001.55,1390354,0,4363,318.7,8.54,16.12,10.43,33.82,23.77,7.75,49.0,50.99,98.6,1.4,395.92,28366.5,414972,2.7,57.64,39.66,0,0,0,0,0,0,10167469,1569019,3,Industrial&Tourism&Urban,,,,
2013,2556,CHAI NAT,330.0,0.99,90.35,56.4,183.22,332769,0,2470,134.7,6.12,13.52,9.24,28.93,29.5,12.97,48.24,51.75,98.5,1.5,118.11,32753.5,116495,36.31,20.37,43.32,0,0,0,0,0,0,185445,217449,5,Industrial&Agricultural&Tourism,,,,
